t,average_score
0,-108.75523201681858
1,-218.949394827596
2,-203.12868303978726
3,-215.4709538276778
4,-198.80428796690344
5,-167.40446773898336
6,-159.70425964308427
7,-170.3166645425952
8,-171.9597398318741
9,-166.7563292005595
10,-184.1377042584678
11,-178.00256708749495
12,-182.77595070661238
13,-190.47283210021956
14,-192.51147918647862
15,-203.57529857028172
16,-215.39014499023787
17,-217.37689589426344
18,-219.60955814961457
19,-220.96118916812307
20,-225.55815207683438
21,-229.67689628962682
22,-225.10610490285265
23,-220.7627485686264
24,-223.25310624682567
25,-217.4936038775789
26,-213.53455232840903
27,-213.11727284575622
28,-220.63434229542716
29,-218.14499129067704
30,-221.56405582467886
31,-221.84169545476072
32,-223.9635639707332
33,-221.14889060880668
34,-221.33846011753664
35,-221.82200584532143
36,-215.13041391891988
37,-222.0392559545611
38,-219.27124692591423
39,-219.01567313181926
40,-218.55109287341327
41,-224.45932423643112
42,-223.2786984005866
43,-220.64112495820908
44,-223.81181750257534
45,-228.1539527905652
46,-229.83761984745917
47,-227.7514607957004
48,-225.57299002111378
49,-226.27708126396547
50,-223.95585917576292
51,-225.231059522834
52,-226.07221126365155
53,-223.21507223077273
54,-222.37383130644164
55,-224.06986135368405
56,-223.04422037482874
57,-224.444943539332
58,-225.68102549670473
59,-225.38312442589842
60,-226.12088288046635
61,-229.36073363157064
62,-227.27796519653086
63,-225.91834897292173
64,-225.68240695150448
65,-230.95931195864173
66,-229.43932080215208
67,-228.94237791524637
68,-227.0631231130446
69,-227.7957522849716
70,-227.2147941087775
71,-226.40377749210222
72,-226.74821911879658
73,-225.00782813232408
74,-224.73976276246526
75,-227.15052489938876
76,-224.75919720795906
77,-225.0725330977344
78,-226.2691169198706
79,-225.52063165624395
80,-223.418782571496
81,-223.1748146737928
82,-223.5822637510178
83,-222.4600852187015
84,-221.27470192267933
85,-221.9613602847601
86,-221.0264934213063
87,-220.0111504938114
88,-219.64186439268937
89,-221.7196010007125
90,-219.77864461930733
91,-218.21519880826085
92,-216.2076431901021
93,-214.61717185773318
94,-216.68309804871726
95,-214.64944730644314
96,-213.03536556894616
97,-213.41692030726225
98,-213.42208468308309
99,-213.32878118258446
100,-212.19141663328134
101,-210.75622039872698
102,-210.3850369184469
103,-210.09626944265648
104,-210.88180198621924
105,-213.10383308014065
106,-212.65136038458968
107,-209.42213959553885
108,-208.06776714532774
109,-209.79725999095265
110,-208.69965223220657
111,-207.45616969017863
112,-206.87512810564942
113,-207.70404340087435
114,-206.13289871825452
115,-202.78411811941496
116,-199.0978375690655
117,-199.50367237173222
118,-199.08687849863233
119,-196.2767352381684
120,-194.3701678175083
121,-192.98684040006322
122,-191.6769052036949
123,-190.65116193085407
124,-189.9536130935438
125,-187.33829444667538
126,-187.3512301852931
127,-186.8423945687855
128,-183.61901061343772
129,-184.6193486365037
130,-182.22829511986444
131,-180.9754956366934
132,-178.61519961236934
133,-176.33200539787916
134,-175.95496777883127
135,-175.9683028269919
136,-174.746091040979
137,-170.16997022177134
138,-170.32438755572144
139,-169.07327072593714
140,-168.9895108710615
141,-166.07775142023266
142,-166.77502001744244
143,-166.9678051709724
144,-162.73668589023947
145,-159.2722534372391
146,-156.74417369017564
147,-155.8508351859649
148,-154.77900164839286
